timestamp,gpu,gfx_activity,umc_activity,mm_activity,vcn_activity,jpeg_activity,gfx_busy_inst_xcp_0,jpeg_busy_xcp_0,vcn_busy_xcp_0,socket_power,gfx_voltage,soc_voltage,mem_voltage,throttle_status,power_management,gfx_0_clk,gfx_0_min_clk,gfx_0_max_clk,gfx_0_clk_locked,gfx_0_deep_sleep,gfx_1_clk,gfx_1_min_clk,gfx_1_max_clk,gfx_1_clk_locked,gfx_1_deep_sleep,gfx_2_clk,gfx_2_min_clk,gfx_2_max_clk,gfx_2_clk_locked,gfx_2_deep_sleep,gfx_3_clk,gfx_3_min_clk,gfx_3_max_clk,gfx_3_clk_locked,gfx_3_deep_sleep,gfx_4_clk,gfx_4_min_clk,gfx_4_max_clk,gfx_4_clk_locked,gfx_4_deep_sleep,gfx_5_clk,gfx_5_min_clk,gfx_5_max_clk,gfx_5_clk_locked,gfx_5_deep_sleep,gfx_6_clk,gfx_6_min_clk,gfx_6_max_clk,gfx_6_clk_locked,gfx_6_deep_sleep,gfx_7_clk,gfx_7_min_clk,gfx_7_max_clk,gfx_7_clk_locked,gfx_7_deep_sleep,mem_0_clk,mem_0_min_clk,mem_0_max_clk,mem_0_clk_locked,mem_0_deep_sleep,vclk_0_clk,vclk_0_min_clk,vclk_0_max_clk,vclk_0_clk_locked,vclk_0_deep_sleep,vclk_1_clk,vclk_1_min_clk,vclk_1_max_clk,vclk_1_clk_locked,vclk_1_deep_sleep,vclk_2_clk,vclk_2_min_clk,vclk_2_max_clk,vclk_2_clk_locked,vclk_2_deep_sleep,vclk_3_clk,vclk_3_min_clk,vclk_3_max_clk,vclk_3_clk_locked,vclk_3_deep_sleep,dclk_0_clk,dclk_0_min_clk,dclk_0_max_clk,dclk_0_clk_locked,dclk_0_deep_sleep,dclk_1_clk,dclk_1_min_clk,dclk_1_max_clk,dclk_1_clk_locked,dclk_1_deep_sleep,dclk_2_clk,dclk_2_min_clk,dclk_2_max_clk,dclk_2_clk_locked,dclk_2_deep_sleep,dclk_3_clk,dclk_3_min_clk,dclk_3_max_clk,dclk_3_clk_locked,dclk_3_deep_sleep,fclk_0_clk,fclk_0_min_clk,fclk_0_max_clk,fclk_0_clk_locked,fclk_0_deep_sleep,socclk_0_clk,socclk_0_min_clk,socclk_0_max_clk,socclk_0_clk_locked,socclk_0_deep_sleep,edge,hotspot,mem
1783451055,3,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",265,N/A,N/A,N/A,N/A,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,109,500,2400,DISABLED,ENABLED,110,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,102,500,2400,DISABLED,ENABLED,103,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,53,40
1783451055,4,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",264,N/A,N/A,N/A,N/A,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,52,38
1783451055,5,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",246,N/A,N/A,N/A,N/A,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,52,38
1783451055,6,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",264,N/A,N/A,N/A,N/A,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,112,500,2400,DISABLED,ENABLED,112,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,54,39
1783451055,7,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",258,N/A,N/A,N/A,N/A,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,54,38

1783451056,0,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",257,N/A,N/A,N/A,N/A,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,56,38
1783451056,1,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",253,N/A,N/A,N/A,N/A,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,52,37
1783451056,2,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",257,N/A,N/A,N/A,N/A,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,53,39
1783451056,3,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",265,N/A,N/A,N/A,N/A,ENABLED,94,500,2400,DISABLED,ENABLED,93,500,2400,DISABLED,ENABLED,98,500,2400,DISABLED,ENABLED,99,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,102,500,2400,DISABLED,ENABLED,103,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,53,39
1783451056,4,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",264,N/A,N/A,N/A,N/A,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,96,500,2400,DISABLED,ENABLED,96,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,52,38
1783451056,5,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",246,N/A,N/A,N/A,N/A,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,52,38
1783451056,6,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",264,N/A,N/A,N/A,N/A,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,107,500,2400,DISABLED,ENABLED,108,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,54,39
1783451056,7,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",258,N/A,N/A,N/A,N/A,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,54,38

1783451057,0,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",257,N/A,N/A,N/A,N/A,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,56,38
1783451057,1,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",253,N/A,N/A,N/A,N/A,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,52,38
1783451057,2,0,0,N/A,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",257,N/A,N/A,N/A,N/A,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,96,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,94,500,2400,DISABLED,ENABLED,95,500,2400,DISABLED,ENABLED,2000,2000,2000,N/A,DISABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,59,1900,1900,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,48,1520,1520,N/A,ENABLED,1250,1250,1250,N/A,DISABLED,38,1200,1200,N/A,ENABLED,N/A,53,39
